skill,platform,title,link,duration_hrs,difficulty,source_type,verified
python,Coursera,Python for Everybody,https://www.coursera.org/specializations/python,40.0,intermediate,free,True
power bi,YouTube,Power BI Full Course,https://www.youtube.com/watch?v=AGrl-H87pRU,5.0,intermediate,free,True
excel,LinkedIn Learning,Excel Essential Training,https://www.linkedin.com/learning/excel-essential-training,8.0,beginner,paid,True
machine learning,Coursera,Machine Learning by Andrew Ng,https://www.coursera.org/learn/machine-learning,55.0,advanced,free,True
sql,Kaggle,Intro to SQL,https://www.kaggle.com/learn/intro-to-sql,4.0,beginner,free,True
accounting,https://www.google.com/search?q=learn+accounting,,,,,,
advance,https://www.google.com/search?q=learn+advance,,,,,,
analysis,https://www.google.com/search?q=learn+analysis,,,,,,
awsgcp,https://www.google.com/search?q=learn+awsgcp,,,,,,
budgeting,https://www.google.com/search?q=learn+budgeting,,,,,,
build,https://www.google.com/search?q=learn+build,,,,,,
compliance,https://www.google.com/search?q=learn+compliance,,,,,,
dashboard,https://www.google.com/search?q=learn+dashboard,,,,,,
data,https://www.google.com/search?q=learn+data,,,,,,
dataset,https://www.google.com/search?q=learn+dataset,,,,,,
deployment,https://www.google.com/search?q=learn+deployment,,,,,,
development,https://www.google.com/search?q=learn+development,,,,,,
employee,https://www.google.com/search?q=learn+employee,,,,,,
engineer,https://www.google.com/search?q=learn+engineer,,,,,,
experience,https://www.google.com/search?q=learn+experience,,,,,,
expertise,https://www.google.com/search?q=learn+expertise,,,,,,
finance,https://www.google.com/search?q=learn+finance,,,,,,
forecasting,https://www.google.com/search?q=learn+forecasting,,,,,,
grievance,https://www.google.com/search?q=learn+grievance,,,,,,
hire,https://www.google.com/search?q=learn+hire,,,,,,
knowledge,https://www.google.com/search?q=learn+knowledge,,,,,,
large,https://www.google.com/search?q=learn+large,,,,,,
management,https://www.google.com/search?q=learn+management,,,,,,
modeling,https://www.google.com/search?q=learn+modeling,,,,,,
opening,https://www.google.com/search?q=learn+opening,,,,,,
organizational,https://www.google.com/search?q=learn+organizational,,,,,,
power,https://www.google.com/search?q=learn+power,,,,,,
principle,https://www.google.com/search?q=learn+principle,,,,,,
process,https://www.google.com/search?q=learn+process,,,,,,
proficient,https://www.google.com/search?q=learn+proficient,,,,,,
realworld,https://www.google.com/search?q=learn+realworld,,,,,,
relation,https://www.google.com/search?q=learn+relation,,,,,,
require,https://www.google.com/search?q=learn+require,,,,,,
storytelling,https://www.google.com/search?q=learn+storytelling,,,,,,
system,https://www.google.com/search?q=learn+system,,,,,,
tensorflow,https://www.google.com/search?q=learn+tensorflow,,,,,,
variance,https://www.google.com/search?q=learn+variance,,,,,,
external,https://www.google.com/search?q=learn+external,,,,,,
impact,https://www.google.com/search?q=learn+impact,,,,,,
preference,https://www.google.com/search?q=learn+preference,,,,,,
stakeholder,https://www.google.com/search?q=learn+stakeholder,,,,,,
adobe,https://www.google.com/search?q=learn+adobe,,,,,,
automation,https://www.google.com/search?q=learn+automation,,,,,,
automationdriven,https://www.google.com/search?q=learn+automationdriven,,,,,,
cloud,https://www.google.com/search?q=learn+cloud,,,,,,
communication,https://www.google.com/search?q=learn+communication,,,,,,
datum,https://www.google.com/search?q=learn+datum,,,,,,
environment,https://www.google.com/search?q=learn+environment,,,,,,
evaluation,https://www.google.com/search?q=learn+evaluation,,,,,,
identification,https://www.google.com/search?q=learn+identification,,,,,,
implement,https://www.google.com/search?q=learn+implement,,,,,,
implementation,https://www.google.com/search?q=learn+implementation,,,,,,
institution,https://www.google.com/search?q=learn+institution,,,,,,
internal,https://www.google.com/search?q=learn+internal,,,,,,
international,https://www.google.com/search?q=learn+international,,,,,,
learn,https://www.google.com/search?q=learn+learn,,,,,,
organization,https://www.google.com/search?q=learn+organization,,,,,,
prefer,https://www.google.com/search?q=learn+prefer,,,,,,
presentation,https://www.google.com/search?q=learn+presentation,,,,,,
professional,https://www.google.com/search?q=learn+professional,,,,,,
rank,https://www.google.com/search?q=learn+rank,,,,,,
respective,https://www.google.com/search?q=learn+respective,,,,,,
seek,https://www.google.com/search?q=learn+seek,,,,,,
talent,https://www.google.com/search?q=learn+talent,,,,,,
technology,https://www.google.com/search?q=learn+technology,,,,,,
enterprise,https://www.google.com/search?q=learn+enterprise,,,,,,
flexibility,https://www.google.com/search?q=learn+flexibility,,,,,,
resourcefulness,https://www.google.com/search?q=learn+resourcefulness,,,,,,
colleague,https://www.google.com/search?q=learn+colleague,,,,,,
impactevery,https://www.google.com/search?q=learn+impactevery,,,,,,
nurse,https://www.google.com/search?q=learn+nurse,,,,,,
way,https://www.google.com/search?q=learn+way,,,,,,
data analysis,auto,Auto-learned: data analysis,https://www.coursera.org/courses%3Fquery%3Ddata%2520analytics,unknown,unknown,free,False
